id,ADDRESS_IN,MATCH_INDICATOR,MATCH_TYPE,ADDRESS_OUT,LONG_LAT,TIGER_EDGE,STREET_SIDE,FIPS_STATE,FIPS_COUNTY,CENSUS_TRACT,CENSUS_BLOCK
88,"1535 Milnor St,  Jacksonville, FL, 32206",Match,Exact,"1535 MILNOR ST, JACKSONVILLE, FL, 32206","-81.63875414597766,30.342297705476426",83899518.0,R,12.0,31.0,17400.0,2021.0
89,"1520 Sprinkle Dr,  Jacksonville, FL, 32211-5452",Match,Non_Exact,"1520 SPRINKLE DR, JACKSONVILLE, FL, 32211","-81.59233064994305,30.336588779250803",83960547.0,L,12.0,31.0,15400.0,1010.0
110,"7000 Powers Ave,  Jacksonville, FL, 32217-3398",Match,Non_Exact,"7000 POWERS AVE, JACKSONVILLE, FL, 32217","-81.6128897456345,30.24882526807272",610518975.0,L,12.0,31.0,16606.0,1000.0
111,"700 Seagate Ave,  Neptune Beach, FL, 32266-3505",Match,Non_Exact,"700 SEAGATE AVE, NEPTUNE BEACH, FL, 32266","-81.40182204301527,30.3076187264042",83922963.0,R,12.0,31.0,14001.0,3003.0
112,"590 Duval Station Rd,  Jacksonville, FL, 32218-1869",Match,Non_Exact,"590 DUVAL STATION RD, JACKSONVILLE, FL, 32218","-81.6122162068803,30.485515555847314",83961150.0,R,12.0,31.0,10204.0,2004.0
113,"4831 Greenland Rd,  Jacksonville, FL, 32258-1517",Match,Non_Exact,"4831 GREENLAND RD, JACKSONVILLE, FL, 32258","-81.58166477734193,30.161353569238145",83989649.0,R,12.0,31.0,16810.0,2000.0
114,"4412 Barnes Rd,  Jacksonville, FL, 32207-7469",Match,Non_Exact,"4412 BARNES RD S, JACKSONVILLE, FL, 32207","-81.60991551291033,30.27829099097187",83918795.0,R,12.0,31.0,16102.0,2000.0
115,"3816 N Main St,  Jacksonville, FL, 32206-1450",Match,Non_Exact,"3816 N MAIN ST, JACKSONVILLE, FL, 32206","-81.65348151584033,30.361881009466572",83898000.0,L,12.0,31.0,1300.0,3015.0
116,"3701 Winton Dr,  Jacksonville, FL, 32208-2998",Match,Non_Exact,"3701 WINTON DR, JACKSONVILLE, FL, 32208","-81.7071551610191,30.389420588004214",83891551.0,R,12.0,31.0,11300.0,2007.0
90,"1515 Florida Blvd,  Neptune Beach, FL, 32266-3121",Match,Non_Exact,"1515 FLORIDA BLVD, NEPTUNE BEACH, FL, 32266","-81.40986739407299,30.31587235569998",83907282.0,L,12.0,31.0,14002.0,1021.0
117,"3663 Raines Ave,  Jacksonville, FL, 32209-1999",Match,Non_Exact,"3663 RAINES AVE, JACKSONVILLE, FL, 32209","-81.7078926310794,30.381896394073408",83891866.0,R,12.0,31.0,11400.0,1006.0
91,"14799 Bartram Springs Pkwy,  Jacksonville, FL, 32258-6101",Match,Non_Exact,"14799 BARTRAM SPRINGS PKWY, JACKSONVILLE, FL, 32258","-81.49605429880916,30.108035940761283",650092025.0,L,12.0,31.0,14423.0,3034.0
118,"3239 Norman E Thagard Blvd,  Jacksonville, FL, 32254-1796",Match,Non_Exact,"3239 NORMAN E THAGARD BLVD, JACKSONVILLE, FL, 32254","-81.72427677462264,30.34392431715412",83970137.0,R,12.0,31.0,11800.0,1017.0
92,"13333 Lanier Rd,  Jacksonville, FL, 32226-1799",Match,Non_Exact,"13333 LANIER RD, JACKSONVILLE, FL, 32226","-81.58797477649915,30.47767354682702",83901396.0,R,12.0,31.0,10101.0,4005.0
119,"2750 John Prom Blvd,  Jacksonville, FL, 32246-3999",Match,Non_Exact,"2750 JOHN PROM BLVD, JACKSONVILLE, FL, 32246","-81.51608681309983,30.297498899986635",83968743.0,R,12.0,31.0,14312.0,1002.0
93,"13200 Chets Creek Blvd,  Jacksonville, FL, 32224-5234",Match,Non_Exact,"13200 CHETS CREEK BLVD, JACKSONVILLE, FL, 32224","-81.47041724602622,30.267679135722744",648730601.0,L,12.0,31.0,14420.0,2000.0
id,"Street, City, State, Zip",No_Match,,,,,,,,,
94,"12731 Abess Blvd,  Jacksonville, FL, 32225-5942",Match,Non_Exact,"12731 ABESS BLVD, JACKSONVILLE, FL, 32225","-81.47619442381387,30.321726819823766",83969907.0,R,12.0,31.0,14336.0,1005.0
95,"12555 Gillespie Ave,  Jacksonville, FL, 32218-3813",Match,Non_Exact,"12555 GILLESPIE AVE, JACKSONVILLE, FL, 32218","-81.62587111475568,30.460738756940202",83965301.0,R,12.0,31.0,10203.0,1001.0
